industries_clean,crop_and_animal_production,forestry_and_logging,fishing,mining,extraction_oli_ores,other_mining,mining_support_service,production_of_meat_products,fish_fruit_and_vegetables,oils_and_fats,dairy_products,grain_mill_products,bakery_products,other_food_products,prepared_animal_feeds,alcohol_tobacco,soft_drinks,textiles,wearing_apparel,leather,wood,paper,recorded_media,refined_petroleum,paints_varnishes_printing_ink,soap_detergents_cleaning,other_chemical,industrial_gases_chemicals,petrochemicals,dyestuffs_agro_chemicals,pharmaceutical,rubber_and_plastic,cement_lime_plaster,glass_clay_ceramic,iron_steel,other_metals_and_casting,weapons_ammunition,fabricated_metal_products,computer_electronic_optical,electrical_equipment,machinery_and_equipment,motor_vehicles_trailers,building_ships,air_and_spacecraft,other_transport_equipment,furniture,other_manufacturing,maintenance_ships,maintenance_aircraft_spacecraft,rest_of_repair_installation,electric_power_generation,manufacture_of_gas_distribution,water_collection_treatment_and_supply,sewerage,waste_collection_treatment,other_waste_management_services,construction,motor_vehicles_and_motorcycles,wholesale_trade,retail_trade,rail_transport,land_transport_services,water_transport,air_transport,warehousing,postal_and_courier,accommodation,food_and_beverage,publishing_activities,motion_picture_video,telecommunications,computer_programming,information_service_activities,financial_service_activities,insurance_pension,auxiliary_financial_services,real_estate_services,owner_occupiers_housing,buying_and_selling_renting,legal_activities,accounting_bookkeeping,head_offices_management,architectural,scientific_r_and_d,advertising_market_research,other_scientific_activities,veterinary_activities,rental_leasing_activities,employment_activities,travel_agency,security_activities,services_to_buildings,administrative_office_support,public_administration,education,human_health_activities,social_work_activities,creative_arts_activities,libraries_archives_museums,gambling_and_betting_activities,sports_and_amusement_activities,membership_organisations,repair_of_household_goods,other_personal_service_activities,total
manufacture_of_gas_distribution,16,1,3,0,23,24,2,49,32,9,26,26,49,107,12,67,15,18,5,3,25,94,20,28,6,12,16,147,125,26,52,107,37,51,72,32,7,123,26,15,60,72,5,41,2,9,14,1,3,27,8836,6262,35,7,16,1,348,73,143,390,23,20,2,12,68,17,150,284,7,50,46,35,19,79,6,55,11,84,115,42,14,35,23,26,15,23,5,17,19,24,3,20,28,248,302,410,177,9,20,42,97,38,0,35,20605
water_collection_treatment_and_supply,19,1,3,1,11,12,7,46,34,3,26,34,21,43,9,60,25,11,4,2,9,35,16,35,5,12,30,33,29,13,19,25,17,16,19,3,2,48,15,8,18,23,5,18,2,6,18,1,2,6,137,19,956,378,178,1,313,76,169,327,14,29,12,6,66,28,289,271,5,15,19,40,8,14,123,6,24,10,135,38,25,42,47,16,36,27,6,29,6,10,8,42,61,350,257,192,243,21,22,21,148,28,11,97,6310
sewerage,13,0,2,0,3,1,2,39,19,3,8,8,6,33,2,20,1,6,0,4,0,17,4,10,5,2,12,1,15,35,46,20,1,0,2,4,1,66,4,2,12,27,7,13,0,5,7,1,0,3,26,3,43,436,1827,0,303,39,105,126,1,31,0,3,32,17,81,64,1,3,2,11,2,11,8,17,9,6,19,6,1,16,27,5,1,26,1,18,0,2,1,85,42,732,63,401,69,1,3,17,34,1,2,14,5295
waste_collection_treatment,206,3,11,0,19,15,17,79,35,7,35,9,31,64,14,120,30,8,4,7,29,78,17,95,12,14,2,3,42,4,5,26,27,3,273,1,9,44,16,12,10,125,24,82,7,16,6,6,3,19,8,4,79,42,2384,10,618,105,421,540,11,213,15,6,137,55,127,312,18,16,17,24,10,48,13,91,25,57,83,31,19,10,43,7,21,31,12,16,7,12,5,139,38,1059,155,813,131,9,26,64,100,21,7,72,10059
other_waste_management_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,289,80,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,32,0,0,0,0,0,4,0,0,0,769
construction,315,52,1,3,241,3,287,85,14,1,24,4,11,15,11,7,5,3,3,5,12,7,5,256,8,4,3,31,56,6,14,264,125,4,5,2,2,311,12,8,83,194,241,17,11,7,16,0,1,457,2999,561,261,345,218,1,109351,281,2659,1591,24,60,12,43,449,29,100,319,20,69,94,108,40,1322,736,168,359,7246,11598,30,14,1392,906,66,101,415,8,69,56,40,2,523,180,5076,796,1183,355,76,62,8,126,26,1,34,155859
motor_vehicles_and_motorcycles,750,49,0,3,107,10,26,13,5,0,11,1,11,14,0,5,23,7,0,0,6,20,18,2,1,6,3,10,3,1,26,63,10,21,6,3,14,46,135,62,555,4016,11,24,138,9,18,1,0,158,70,17,59,25,182,0,586,4605,1974,1529,56,1860,18,12,172,417,61,111,12,17,20,142,32,427,229,97,3,11,40,39,55,41,23,21,8,4,1,2436,77,3,15,48,45,370,288,265,228,4,4,4,31,5,6,68,23301
wholesale_trade,1747,166,185,14,565,259,124,1421,907,76,707,503,531,1182,562,672,390,437,227,52,634,939,677,276,181,429,376,323,747,121,1375,1160,415,461,850,343,267,1833,1055,978,2653,3361,243,1677,128,419,526,52,71,418,768,100,82,12,474,3,10008,402,1977,1005,86,550,138,305,473,89,1003,4412,1018,746,310,580,199,590,96,303,39,175,367,89,47,151,656,477,180,301,121,223,232,90,57,437,418,2893,1400,4738,605,113,55,84,305,246,62,348,74356
retail_trade,483,34,49,3,169,74,36,466,189,28,208,231,271,526,274,188,132,321,185,14,119,179,135,38,52,193,105,92,197,31,364,309,101,126,254,98,90,570,320,301,869,1826,71,538,49,150,243,20,21,161,216,31,31,7,166,2,2717,741,908,521,51,306,69,101,220,51,316,1440,581,1041,99,355,51,282,64,158,14,46,156,48,23,76,185,149,138,203,35,188,25,30,25,168,168,1159,829,1794,415,99,68,60,212,149,21,172,28680
rail_transport,0,2,0,9,25,16,5,4,0,0,2,0,0,0,0,15,0,5,0,0,0,1,4,0,0,1,0,0,0,0,1,2,7,7,31,0,1,13,30,3,0,31,0,0,5,4,2,0,0,5,1,0,0,0,0,0,14,1,2,4,1804,1,0,55,6,1,1,2,0,1,1,8,0,25,17,14,0,0,18,1,1,1,1,1,1,0,0,3,0,170,1,0,1,777,145,346,1,0,13,0,30,0,2,0,3712
